product_id,product_name,gender,category,pattern,color,age_group,season,price,material,average_rating,brand
1001,Biker Jacket,Male,Shirt,Geometric,White,25-35,Spring,70.36,Synthetic,4.9,ZARA
1002,Business Shirt,Male,Jacket,Polka Dots,Beige,18-24,Summer,91.59,Wool,3.5,ZARA
1003,Wool Jacket,Female,Dress,Geometric,Brown,18-24,All,129.52,Wool,4.3,ZARA
1004,Summer Dress,Male,Shorts,Plain,White,25-35,All,116.01,Cotton,4.6,ZARA
1005,Casual Jeans,Male,Shirt,Plain,Beige,35-45,Winter,125.48,Viscose,3.6,ZARA
1006,Business Shirt,Female,Shirt,Plain,Brown,35-45,Spring,23.9,Denim,4.7,ZARA
1007,Casual Jeans,Female,Blouse,Plain,Beige,25-35,All,27.95,Denim,4.0,ZARA
1008,Heels,Male,Shoes,Geometric,Beige,25-35,Autumn,87.09,Viscose,3.2,ZARA
1009,Beach Shirt,Female,Shirt,Polka Dots,Brown,35-45,All,97.1,Denim,3.5,ZARA
1010,Pattern Skirt,Female,Jeans,Plain,Brown,35-45,Summer,42.82,Synthetic,4.1,ZARA
1011,Business Shirt,Female,Dress,Plain,Beige,25-35,All,85.52,Synthetic,3.7,ZARA
1012,Blouse,Female,Jacket,Plain,White,18-24,Spring,36.11,Cotton,4.6,ZARA
1013,Chino Shorts,Female,Jeans,Heart,Red,25-35,Autumn,112.16,Leather,4.4,ZARA
1014,Pattern Skirt,Female,Jeans,Heart,Pink,18-24,Winter,91.96,Leather,4.0,ZARA
1015,Blouse,Female,Shorts,Plain,Red,35-45,Spring,41.31,Denim,3.7,ZARA
1016,Blouse,Female,Jeans,Polka Dots,Pink,35-45,All,140.63,Synthetic,4.6,ZARA
1017,Pattern Skirt,Male,Shorts,Heart,White,18-24,Winter,76.42,Synthetic,3.0,ZARA
1018,Summer Dress,Male,Skirt,Plain,Pink,18-24,Summer,113.35,Cotton Blend,3.3,ZARA
1019,Casual Jeans,Female,Shorts,Heart,Pink,18-24,Summer,90.37,Viscose,4.8,ZARA
1020,Pattern Skirt,Female,Skirt,Polka Dots,White,35-45,Spring,74.13,Synthetic,3.8,ZARA
1021,Blouse,Male,Skirt,Plain,Pink,35-45,All,25.48,Cotton,3.6,ZARA
1022,Blouse,Male,Jeans,Polka Dots,White,18-24,Summer,147.52,Cotton,3.9,ZARA
1023,Heels,Male,Shoes,Geometric,White,25-35,Autumn,137.01,Synthetic,4.2,ZARA
1024,Pattern Skirt,Male,Shoes,Geometric,Beige,18-24,Summer,87.58,Wool,4.8,ZARA
1025,Blouse,Female,Dress,Polka Dots,Beige,25-35,Winter,67.56,Cotton Blend,3.8,ZARA
1026,Casual Jeans,Male,Shorts,Polka Dots,White,18-24,Summer,71.04,Leather,3.2,ZARA
1027,Summer Dress,Male,Jeans,Geometric,White,35-45,Autumn,67.63,Viscose,4.6,ZARA
1028,Business Shirt,Male,Shorts,Polka Dots,Brown,35-45,Autumn,141.71,Viscose,4.1,ZARA
1029,Summer Dress,Female,Skirt,Geometric,Beige,18-24,All,57.57,Synthetic,3.2,ZARA
1030,Casual Jeans,Male,Dress,Polka Dots,Brown,35-45,Summer,73.83,Leather,3.9,ZARA
1031,Blouse,Male,Shorts,Geometric,Beige,35-45,Winter,62.27,Synthetic,4.0,ZARA
1032,Biker Jacket,Female,Shirt,Geometric,Beige,18-24,All,60.63,Leather,4.5,ZARA
1033,Beach Shirt,Male,Blouse,Plain,Brown,35-45,All,95.85,Cotton Blend,3.3,ZARA
1034,Blouse,Male,Skirt,Geometric,Brown,18-24,Autumn,115.58,Wool,3.6,ZARA
1035,Wool Jacket,Male,Skirt,Plain,Brown,25-35,Autumn,27.99,Wool,4.3,ZARA
